timestamp,mode,result,steps,target_color,cup_init_x,cup_init_y,cup_init_z
2026-02-09 14:06:37,arm,fail,578,unknown,nan,nan,nan
2026-02-09 14:07:38,arm,fail,581,unknown,nan,nan,nan
2026-02-09 14:08:38,arm,fail,582,unknown,nan,nan,nan
2026-02-09 14:08:55,arm,success,153,red,0.203676,0.144969,0.845000
2026-02-09 14:09:12,arm,success,157,blue,0.275168,0.216293,0.845000
2026-02-09 14:09:28,arm,success,142,blue,0.290549,0.195144,0.845000
2026-02-09 14:10:28,arm,fail,572,unknown,nan,nan,nan
2026-02-09 14:10:44,arm,success,137,blue,0.297926,0.183685,0.845000
2026-02-09 14:11:44,arm,fail,581,unknown,nan,nan,nan
2026-02-09 14:12:44,arm,fail,579,unknown,nan,nan,nan
2026-02-09 14:13:02,arm,success,159,red,0.242789,0.059612,0.845000
2026-02-09 14:13:19,arm,success,155,red,0.181215,0.172224,0.845000
2026-02-09 14:14:20,arm,fail,577,unknown,nan,nan,nan
2026-02-09 14:14:38,arm,success,164,red,0.239114,0.072970,0.845000
2026-02-09 14:15:38,arm,fail,581,unknown,nan,nan,nan
2026-02-09 14:16:38,arm,fail,541,unknown,nan,nan,nan
2026-02-09 14:16:59,arm,success,182,blue,0.279810,0.210253,0.845000
2026-02-09 14:17:19,arm,success,185,blue,0.287704,0.199315,0.845000
2026-02-09 14:18:19,arm,fail,581,unknown,nan,nan,nan
2026-02-09 14:18:36,arm,success,143,blue,0.293438,0.190772,0.845000
2026-02-09 14:19:36,arm,fail,581,unknown,nan,nan,nan
2026-02-09 14:19:55,arm,success,169,blue,0.277690,0.213045,0.845000
2026-02-09 14:20:16,arm,success,200,red,0.249351,0.018001,0.845000
2026-02-09 14:21:17,arm,fail,576,unknown,nan,nan,nan
2026-02-09 14:21:38,arm,success,193,red,0.209900,0.135801,0.845000
2026-02-09 14:22:39,arm,fail,578,unknown,nan,nan,nan
2026-02-09 14:23:39,arm,fail,576,unknown,nan,nan,nan
2026-02-09 14:24:39,arm,fail,583,unknown,nan,nan,nan
2026-02-09 14:25:39,arm,fail,571,unknown,nan,nan,nan
2026-02-09 14:26:39,arm,fail,574,unknown,nan,nan,nan
2026-02-09 14:27:40,arm,fail,581,unknown,nan,nan,nan
2026-02-09 14:28:40,arm,fail,582,unknown,nan,nan,nan
2026-02-09 14:29:40,arm,fail,579,unknown,nan,nan,nan
2026-02-09 14:30:41,arm,fail,581,unknown,nan,nan,nan
2026-02-09 14:30:59,arm,success,164,red,0.200709,0.149050,0.845000
2026-02-09 14:31:17,arm,success,163,red,0.230281,0.097317,0.845000
2026-02-09 14:31:38,arm,success,185,blue,0.285579,0.202348,0.845000
2026-02-09 14:32:38,arm,fail,577,unknown,nan,nan,nan
2026-02-09 14:33:38,arm,fail,576,unknown,nan,nan,nan
2026-02-09 14:34:38,arm,fail,581,unknown,nan,nan,nan
2026-02-09 14:34:59,arm,success,179,red,0.239672,0.071115,0.845000
2026-02-09 14:35:59,arm,fail,580,unknown,nan,nan,nan
2026-02-09 14:36:17,arm,success,165,red,0.208683,0.137664,0.845000
2026-02-09 14:37:18,arm,fail,579,unknown,nan,nan,nan
2026-02-09 14:38:18,arm,fail,579,unknown,nan,nan,nan
2026-02-09 14:39:18,arm,fail,590,unknown,nan,nan,nan
2026-02-09 14:40:18,arm,fail,577,unknown,nan,nan,nan
2026-02-09 14:41:18,arm,fail,569,unknown,nan,nan,nan
2026-02-09 14:41:34,arm,success,142,red,0.234628,0.086312,0.845000
2026-02-09 14:42:34,arm,fail,579,unknown,nan,nan,nan
2026-02-09 14:43:35,arm,fail,587,unknown,nan,nan,nan
2026-02-09 14:44:35,arm,fail,576,unknown,nan,nan,nan
2026-02-09 14:44:53,arm,success,159,red,0.222080,0.114806,0.845000
2026-02-09 14:45:53,arm,fail,583,unknown,nan,nan,nan
2026-02-09 14:46:14,arm,success,191,blue,0.275144,0.216323,0.845000
2026-02-09 14:47:14,arm,fail,580,unknown,nan,nan,nan
2026-02-09 14:48:15,arm,fail,581,unknown,nan,nan,nan
2026-02-09 14:49:15,arm,fail,578,unknown,nan,nan,nan
2026-02-09 14:50:15,arm,fail,579,unknown,nan,nan,nan
2026-02-09 14:50:36,arm,success,197,blue,0.269857,0.222883,0.845000
2026-02-09 14:51:37,arm,fail,564,unknown,nan,nan,nan
2026-02-09 14:51:56,arm,success,176,red,0.218972,0.120629,0.845000
2026-02-09 14:52:15,arm,success,167,blue,0.310648,0.161239,0.845000
2026-02-09 14:53:15,arm,fail,571,unknown,nan,nan,nan
2026-02-09 14:54:15,arm,fail,569,unknown,nan,nan,nan
2026-02-09 14:55:16,arm,fail,571,unknown,nan,nan,nan
2026-02-09 14:56:16,arm,fail,576,unknown,nan,nan,nan
2026-02-09 14:57:16,arm,fail,575,unknown,nan,nan,nan
2026-02-09 14:58:16,arm,fail,570,unknown,nan,nan,nan
2026-02-09 14:58:35,arm,success,173,blue,0.292192,0.192676,0.845000
2026-02-09 14:59:36,arm,fail,566,unknown,nan,nan,nan
2026-02-09 15:00:36,arm,fail,579,unknown,nan,nan,nan
2026-02-09 15:01:36,arm,fail,576,unknown,nan,nan,nan
2026-02-09 15:02:37,arm,fail,576,unknown,nan,nan,nan
2026-02-09 15:02:54,arm,success,152,red,0.245865,0.045284,0.845000
2026-02-09 15:03:15,arm,success,187,blue,0.299295,0.181446,0.845000
2026-02-09 15:04:15,arm,fail,582,unknown,nan,nan,nan
2026-02-09 15:04:30,arm,success,139,blue,0.294362,0.189344,0.845000
2026-02-09 15:05:30,arm,fail,569,unknown,nan,nan,nan
2026-02-09 15:05:51,arm,success,190,red,0.216493,0.125023,0.845000
2026-02-09 15:06:12,arm,success,191,red,0.181544,0.171878,0.845000
2026-02-09 15:07:12,arm,fail,571,unknown,nan,nan,nan
2026-02-09 15:08:13,arm,fail,571,unknown,nan,nan,nan
2026-02-09 15:09:13,arm,fail,576,unknown,nan,nan,nan
2026-02-09 15:09:32,arm,success,167,blue,0.282103,0.207167,0.845000
2026-02-09 15:10:32,arm,fail,579,unknown,nan,nan,nan
2026-02-09 15:10:53,arm,success,187,blue,0.264954,0.228690,0.845000
2026-02-09 15:11:53,arm,fail,575,unknown,nan,nan,nan
